date,countryCode,country,provinceCode,province,cityCode,city,confirmed,suspected,cured,dead
2020-04-30,CN,中国,440000,广东省,442000,中山市,69,0,69,0
2020-04-30,CN,中国,440000,广东省,445100,潮州市,6,0,6,0
2020-04-30,CN,中国,440000,广东省,445200,揭阳市,11,0,11,0
2020-04-30,CN,中国,440000,广东省,445300,云浮市,0,0,0,0
2020-04-30,CN,中国,450000,广西壮族自治区,,,254,0,252,2
2020-04-30,CN,中国,450000,广西壮族自治区,4500y0,境外输入,2,0,2,0
2020-04-30,CN,中国,450000,广西壮族自治区,450100,南宁市,55,0,55,0
2020-04-30,CN,中国,450000,广西壮族自治区,450200,柳州市,24,0,24,0
2020-04-30,CN,中国,450000,广西壮族自治区,450300,桂林市,32,0,32,0
2020-04-30,CN,中国,450000,广西壮族自治区,450400,梧州市,5,0,5,0
2020-04-30,CN,中国,450000,广西壮族自治区,450500,北海市,44,0,43,1
2020-04-30,CN,中国,450000,广西壮族自治区,450600,防城港市,19,0,19,0
2020-04-30,CN,中国,450000,广西壮族自治区,450700,钦州市,8,0,8,0
2020-04-30,CN,中国,450000,广西壮族自治区,450800,贵港市,8,0,8,0
2020-04-30,CN,中国,450000,广西壮族自治区,450900,玉林市,11,0,11,0
2020-04-30,CN,中国,450000,广西壮族自治区,451000,百色市,3,0,3,0
2020-04-30,CN,中国,450000,广西壮族自治区,451100,贺州市,4,0,4,0
2020-04-30,CN,中国,450000,广西壮族自治区,451200,河池市,28,0,27,1
2020-04-30,CN,中国,450000,广西壮族自治区,451300,来宾市,11,0,11,0
